epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,111.905,0.5928,0.42338,0.85825,0.98871,0.9465,0.96863,0.84251,0.61805,0.42256,0.78098,0.00406,0.00406,0.00406
62,113.545,0.56882,0.42693,0.8558,0.9869,0.91507,0.97611,0.85863,0.54109,0.37426,0.77541,0.003961,0.003961,0.003961
63,115.089,0.57842,0.42543,0.85135,0.99447,0.9695,0.9839,0.87226,0.52642,0.38427,0.77112,0.003862,0.003862,0.003862
64,116.74,0.58192,0.41973,0.84778,0.99773,0.9675,0.98321,0.85768,0.61746,0.43848,0.76993,0.003763,0.003763,0.003763
65,118.416,0.579,0.41703,0.84615,0.94657,0.97688,0.97931,0.87553,0.49932,0.38425,0.76893,0.003664,0.003664,0.003664
66,120.02,0.57871,0.41673,0.84823,0.96175,0.96805,0.98315,0.84669,0.61178,0.40622,0.78088,0.003565,0.003565,0.003565
67,121.741,0.55697,0.40252,0.85206,0.94853,0.97295,0.98507,0.86449,0.52895,0.40872,0.76908,0.003466,0.003466,0.003466
68,123.488,0.55295,0.41876,0.84659,0.99428,0.97392,0.98647,0.85815,0.49864,0.3836,0.75986,0.003367,0.003367,0.003367
69,125.396,0.52811,0.41272,0.84222,0.99612,0.96825,0.98663,0.85443,0.59091,0.39513,0.75653,0.003268,0.003268,0.003268
70,127.245,0.53241,0.39917,0.83059,0.99381,0.95916,0.98592,0.86437,0.55014,0.3929,0.75765,0.003169,0.003169,0.003169
71,128.963,0.52693,0.38833,0.84479,0.9949,0.95402,0.98381,0.87729,0.52067,0.40038,0.75252,0.00307,0.00307,0.00307
72,130.753,0.51187,0.38843,0.84346,0.97233,0.94983,0.98509,0.87038,0.58025,0.41735,0.75098,0.002971,0.002971,0.002971
73,132.407,0.53715,0.40026,0.83801,0.99446,0.96111,0.98519,0.86033,0.55386,0.39651,0.75863,0.002872,0.002872,0.002872
74,134.056,0.52234,0.39807,0.84299,0.9886,0.97477,0.98546,0.87383,0.46999,0.35454,0.74432,0.002773,0.002773,0.002773
75,135.736,0.53836,0.39419,0.82573,0.99189,0.97632,0.98628,0.86227,0.50935,0.36548,0.74901,0.002674,0.002674,0.002674
76,137.382,0.51253,0.37959,0.82884,0.99196,0.9799,0.98663,0.88054,0.47357,0.33904,0.74378,0.002575,0.002575,0.002575
77,139.121,0.51812,0.38635,0.83194,0.96832,0.9738,0.98563,0.86434,0.49057,0.35621,0.7571,0.002476,0.002476,0.002476
